﻿Scanned At,Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB)
"2026-04-22 08:48:31","DPT-Reception","DPT-Reception.xlsx","xlsx","/sites/H6323_SPOF/DPT-Reception/Test Version","0.013","3","0.037","0.050"
"2026-04-22 08:48:31","DPT-Reception","Presentation-Rec.pptx","pptx","/sites/H6323_SPOF/DPT-Reception/Test Version","0.039","2","0.071","0.110"
"2026-04-22 08:48:31","DPT-Reception","Book-Reccc.xlsx","xlsx","/sites/H6323_SPOF/DPT-Reception/Test Version","0.012","4","0.048","0.060"
