﻿Library Name,Total Items,Size (MB),Size (GB),Last Modified
"DPT-FB",26358,26883.19,26.253,"22/4/2569 11:16:55"
"DPT-FO",76851,50104.75,48.930,"22/4/2569 11:03:21"
"DPT-GL",88446,81584.05,79.672,"22/4/2569 11:25:10"
"DPT-GM",152,613.79,0.599,"21/4/2569 11:37:18"
"DPT-HK",55179,45406.87,44.343,"22/4/2569 11:16:51"
"DPT-HR",36034,37675.47,36.792,"22/4/2569 10:23:48"
"DPT-IT",27123,13868.06,13.543,"22/4/2569 08:58:50"
"DPT-MK",25,299.88,0.293,"1/4/2569 17:35:01"
"DPT-Reception",7,1.01,0.001,"17/3/2569 19:03:12"
"DPT-SC",111456,134028.78,130.887,"22/4/2569 11:27:16"
"DPT-SM",88622,129025.57,126.002,"22/4/2569 11:27:14"
"DPT-TE",25957,29562.85,28.870,"21/4/2569 10:49:37"
"DPT-TH",7000,6070.62,5.928,"22/4/2569 11:15:30"
"Forum",20588,37108.53,36.239,"22/4/2569 11:06:29"
"
GRAND TOTAL",563798,592233.43,578.353,""
