Library Name,Total Items,Size (MB),Size (GB),Last Modified
"DPT-FB",26285,26657.48,26.033,"16/4/2569 19:21:14"
"DPT-FO",76371,49725.79,48.560,"16/4/2569 20:32:18"
"DPT-GL",88281,81179.74,79.277,"16/4/2569 20:04:28"
"DPT-GM",149,609.48,0.595,"16/4/2569 09:35:10"
"DPT-HK",55176,45354.84,44.292,"16/4/2569 20:19:50"
"DPT-HR",35817,36089.04,35.243,"16/4/2569 19:25:08"
"DPT-IT",27116,13936.46,13.610,"15/4/2569 23:07:46"
"DPT-MK",25,299.88,0.293,"1/4/2569 17:35:01"
"DPT-Reception",7,1.01,0.001,"17/3/2569 19:03:12"
"DPT-SC",111061,133091.32,129.972,"16/4/2569 19:55:21"
"DPT-SM",88384,127250.68,124.268,"16/4/2569 18:31:33"
"DPT-TE",25710,28713.36,28.040,"16/4/2569 15:51:38"
"DPT-TH",6992,5993.38,5.853,"16/4/2569 20:33:19"
"Forum",20567,36659.98,35.801,"16/4/2569 20:34:24"
"
GRAND TOTAL",561941,585562.45,571.838,""
