﻿Library Name,Total Items,Size (MB),Size (GB),Last Modified
"DPT-FB",26355,26883.02,26.253,"22/4/2569 10:01:00"
"DPT-FO",76851,50105.09,48.931,"22/4/2569 10:01:11"
"DPT-GL",88445,81564.28,79.653,"22/4/2569 09:57:35"
"DPT-GM",152,613.79,0.599,"21/4/2569 11:37:18"
"DPT-HK",55179,45402.95,44.339,"22/4/2569 08:57:45"
"DPT-HR",36034,37675.61,36.793,"22/4/2569 09:38:46"
"DPT-IT",27123,13865.22,13.540,"22/4/2569 08:58:50"
"DPT-MK",25,299.88,0.293,"1/4/2569 17:35:01"
"DPT-Reception",7,1.01,0.001,"17/3/2569 19:03:12"
"DPT-SC",111450,133980.24,130.840,"22/4/2569 09:59:19"
"DPT-SM",88611,129059.88,126.035,"22/4/2569 09:58:40"
"DPT-TE",25957,29562.85,28.870,"21/4/2569 10:49:37"
"DPT-TH",6999,6070.43,5.928,"22/4/2569 08:49:41"
"Forum",20588,37111.60,36.242,"22/4/2569 08:51:43"
"
GRAND TOTAL",563776,592195.84,578.316,""
