﻿Library Name,Total Items,Size (MB),Size (GB),Last Modified
"DPT-FB",26355,26882.25,26.252,"22/4/2569 10:45:11"
"DPT-FO",76851,50104.75,48.930,"22/4/2569 10:51:08"
"DPT-GL",88446,81576.79,79.665,"22/4/2569 10:52:49"
"DPT-GM",152,613.79,0.599,"21/4/2569 11:37:18"
"DPT-HK",55179,45407.22,44.343,"22/4/2569 10:32:42"
"DPT-HR",36034,37675.47,36.792,"22/4/2569 10:23:48"
"DPT-IT",27123,13865.22,13.540,"22/4/2569 08:58:50"
"DPT-MK",25,299.88,0.293,"1/4/2569 17:35:01"
"DPT-Reception",7,1.01,0.001,"17/3/2569 19:03:12"
"DPT-SC",111457,134017.85,130.877,"22/4/2569 10:43:41"
"DPT-SM",88618,129081.06,126.056,"22/4/2569 10:52:55"
"DPT-TE",25957,29562.85,28.870,"21/4/2569 10:49:37"
"DPT-TH",6999,6070.48,5.928,"22/4/2569 10:52:48"
"Forum",20588,37107.66,36.238,"22/4/2569 10:51:39"
"
GRAND TOTAL",563791,592266.28,578.385,""
