Library Name,Total Items,Size (MB),Size (GB),Last Modified
"DPT-FB",26290,26673.64,26.048,"16/4/2569 23:05:19"
"DPT-FO",76372,49726.87,48.561,"16/4/2569 23:09:31"
"DPT-GL",88281,81179.74,79.277,"16/4/2569 20:04:28"
"DPT-GM",149,609.48,0.595,"16/4/2569 09:35:10"
"DPT-HK",55176,45354.85,44.292,"16/4/2569 22:07:25"
"DPT-HR",35817,36089.04,35.243,"16/4/2569 19:25:08"
"DPT-IT",27116,13936.46,13.610,"15/4/2569 23:07:46"
"DPT-MK",25,299.88,0.293,"1/4/2569 17:35:01"
"DPT-Reception",7,1.01,0.001,"17/3/2569 19:03:12"
"DPT-SC",111061,133089.90,129.971,"16/4/2569 19:55:21"
"DPT-SM",88385,127250.72,124.268,"16/4/2569 23:08:37"
"DPT-TE",25710,28713.36,28.040,"16/4/2569 15:51:38"
"DPT-TH",6992,5993.59,5.853,"16/4/2569 21:50:30"
"Forum",20568,36662.86,35.804,"16/4/2569 22:01:44"
"
GRAND TOTAL",561949,585581.39,571.857,""
