﻿Library Name,Total Items,Size (MB),Size (GB),Last Modified
"DPT-FB",26355,26883.03,26.253,"22/4/2569 10:27:28"
"DPT-FO",76852,50131.56,48.957,"22/4/2569 10:25:55"
"DPT-GL",88446,81566.92,79.655,"22/4/2569 10:27:36"
"DPT-GM",152,613.79,0.599,"21/4/2569 11:37:18"
"DPT-HK",55179,45407.22,44.343,"22/4/2569 10:27:15"
"DPT-HR",36034,37675.68,36.793,"22/4/2569 10:23:48"
"DPT-IT",27123,13865.22,13.540,"22/4/2569 08:58:50"
"DPT-MK",25,299.88,0.293,"1/4/2569 17:35:01"
"DPT-Reception",7,1.01,0.001,"17/3/2569 19:03:12"
"DPT-SC",111456,133997.75,130.857,"22/4/2569 10:27:38"
"DPT-SM",88616,129074.53,126.049,"22/4/2569 10:25:47"
"DPT-TE",25957,29562.85,28.870,"21/4/2569 10:49:37"
"DPT-TH",6999,6069.57,5.927,"22/4/2569 10:23:26"
"Forum",20588,37111.60,36.242,"22/4/2569 10:27:38"
"
GRAND TOTAL",563789,592260.63,578.380,""
