﻿Library Name,Total Items,Size (MB),Size (GB),Last Modified
"DPT-FB",26355,26884.12,26.254,"22/4/2569 08:40:31"
"DPT-FO",76850,50091.14,48.917,"22/4/2569 08:36:18"
"DPT-GL",88444,81560.24,79.649,"22/4/2569 08:39:48"
"DPT-GM",152,613.79,0.599,"21/4/2569 11:37:18"
"DPT-HK",55177,45402.34,44.338,"22/4/2569 08:38:51"
"DPT-HR",36001,37661.79,36.779,"22/4/2569 08:40:45"
"DPT-IT",27123,13864.91,13.540,"22/4/2569 07:38:23"
"DPT-MK",25,299.88,0.293,"1/4/2569 17:35:01"
"DPT-Reception",7,1.01,0.001,"17/3/2569 19:03:12"
"DPT-SC",111441,133957.69,130.818,"22/4/2569 07:42:03"
"DPT-SM",88603,129066.09,126.041,"22/4/2569 08:39:13"
"DPT-TE",25957,29562.85,28.870,"21/4/2569 10:49:37"
"DPT-TH",6999,6072.15,5.930,"22/4/2569 03:44:38"
"Forum",20588,37109.50,36.240,"22/4/2569 08:35:47"
"
GRAND TOTAL",563722,592147.50,578.269,""
