Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB),Last Datetime of Original Version,First Datetime of History Version,Age (Years),Priority,Recommended Action,Reason,Scanned At
DPT-SC,Event Deck_WHO (7-8 Dec 2025).pptx,pptx,/sites/H6323_SPOF/DPT-SC/Karn Karn/0. Group/Y2025/12. 08_WHO,34.191,4,108.666,142.857,2026-01-13 13:12:57,2025-12-03 19:52:26,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:24:06
DPT-SC,wooni final test.mp4,mp4,/sites/H6323_SPOF/DPT-SC/Nampetch/Event (2025)/7. Jul 2025/05 Jul 2025 Dimerco Express Group,209.388,0,0.0,209.388,2025-06-20 09:54:48,-,0.9,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:26:17
DPT-SC,polo menu.xlsx,xlsx,/sites/H6323_SPOF/DPT-SC/BEO/BEO 2025/11 November/18/Ornprapha (Madam),53.313,4,216.13,269.443,2025-11-14 21:12:09,2025-11-14 20:35:58,0.5,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:42:21
DPT-SC,polo menu (1).xlsx,xlsx,/sites/H6323_SPOF/DPT-SC/BEO/BEO 2025/11 November/18/Ornprapha (Madam),56.193,1,56.193,112.387,2025-11-14 20:30:09,2025-11-14 20:29:18,0.5,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:42:21
DPT-SC,Where Love Belong Festival Apr 4-5'26_action plan.pptx,pptx,/sites/H6323_SPOF/DPT-SC/BEO/BEO 2026/04 April/04/Palinee,59.674,1,59.599,119.274,2026-04-02 11:14:18,2026-03-29 18:12:14,0.1,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:45:42
DPT-SC,h6323_beo_2column_fb_246687754.rtf,rtf,/sites/H6323_SPOF/DPT-SC/Event Headcount/Kate (Mintira)/Event 2023/Dec 23/20-22 Dec 23 Symphony Communication PLC,120.303,0,0.0,120.303,2026-01-09 13:43:21,-,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:50:34
DPT-SC,h6323_beo_2column_fb_246689051.rtf,rtf,/sites/H6323_SPOF/DPT-SC/Event Headcount/Kate (Mintira)/Event 2023/Dec 23/20-22 Dec 23 Symphony Communication PLC,120.41,0,0.0,120.41,2026-01-09 13:43:21,-,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:50:34
DPT-SC,BEO 1220706 Tiancheng (TC) 28 Dec 23.rtf,rtf,/sites/H6323_SPOF/DPT-SC/Event Headcount/Kate (Mintira)/Event 2023/Dec 23/28 Dec 23 Tiancheng International,219.967,0,0.0,219.967,2026-01-09 13:43:21,-,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:50:35
DPT-SC,AMEND BEO 1217459 IRBRTA 22 Dec 2023.rtf,rtf,/sites/H6323_SPOF/DPT-SC/Event Headcount/Kate (Mintira)/Event 2023/Dec 23/22 Dec 23 Board Royal Thai Army Department,100.723,0,0.0,100.723,2026-01-09 13:43:21,-,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:50:35
DPT-SC,final.wmv,wmv,"/sites/H6323_SPOF/DPT-SC/Event info WD/Wedding Jan-New/2.CFM letter 2019/Nov 19/17 Nov 19,K.Phattrawadee-K.Puttisate",107.139,0,0.0,107.139,2025-02-21 10:43:03,-,1.2,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:51:12
DPT-SC,รวมเพลง after party P.Meena.mp4,mp4,"/sites/H6323_SPOF/DPT-SC/Event info WD/Wedding Jan-New/3.CFM letter 2020/Nov 20/22 Nov 20,K.Wiphawee-K.Chana",132.06,0,0.0,132.06,2025-02-21 10:43:05,-,1.2,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:51:40
DPT-SC,GiftTon VDO Presentation.mp4,mp4,/sites/H6323_SPOF/DPT-SC/Event info WD/Wedding Jan-New/5.CFM letter 2022/August 2022/7 Aug 22 K.Nunthaporn-K.Panupun,125.911,0,0.0,125.911,2025-02-21 10:43:09,-,1.2,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:52:04
DPT-SC,Summary details of wedding party on 23 Nov 24.doc,doc,"/sites/H6323_SPOF/DPT-SC/Event info WD/Wedding Jan-New/7.CFM letter 2024/Nov 24/23 Nov 24,K.Rungrut-K.Yoddoy",16.961,4,91.635,108.596,2025-03-21 11:26:14,2023-09-20 11:07:52,1.1,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:53:15
DPT-SC,ป้ายโต๊ะ.pdf,pdf,/sites/H6323_SPOF/DPT-SC/Event info WD/Wedding Jan-New/8.CFM letter 2025/3.March 2025/2 Mar 25 K.Thamonwan & K.Thenanun,152.251,0,0.0,152.251,2025-04-03 14:38:11,-,1.1,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:53:22
DPT-SC,update 2nd revised 4 Beaches Menu.docx,docx,/sites/H6323_SPOF/DPT-SC/Jan/BEO Meeting & Party/2025/April 2025/2 Apr 25 King Power,237.644,2,475.362,713.006,2025-03-27 11:37:29,2025-03-26 11:26:35,1.1,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:54:57
DPT-SC,Event Summary_Ceva 22-23 Jan 26.pptx,pptx,/sites/H6323_SPOF/DPT-SC/Karn Karn/0. Group/Y2026/13. ACTUAL/01. 22-23_Ceva,19.463,15,256.102,275.565,2026-03-09 13:57:51,2026-01-06 16:24:43,0.2,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:55:31
