﻿Scanned At,Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB),Last Datetime of Original Version,First Datetime of History Version
"2026-04-22 12:44:48","DPT-Reception","DPT-Reception.xlsx","xlsx","/sites/H6323_SPOF/DPT-Reception/Test Version","0.013","3","0.037","0.050","2025-05-30 14:00:37","2025-05-30 13:47:35"
"2026-04-22 12:44:48","DPT-Reception","Presentation-Rec.pptx","pptx","/sites/H6323_SPOF/DPT-Reception/Test Version","0.039","2","0.071","0.110","2026-03-17 16:46:57","2026-03-17 16:46:06"
"2026-04-22 12:44:48","DPT-Reception","Book-Reccc.xlsx","xlsx","/sites/H6323_SPOF/DPT-Reception/Test Version","0.012","4","0.048","0.060","2026-03-17 18:58:00","2026-03-17 16:45:50"
